"biz_id","metadata_name","metadata_value","category_path","Label"
"606037","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"606053","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"606034","mcategory_ids","363","Social > Food and Dining > Restaurants > Pizza","Pizza"
"605067","mcategory_ids","361","Social > Food and Dining > Restaurants > Mexican","Mexican"
"604816","mcategory_ids","361","Social > Food and Dining > Restaurants > Mexican","Mexican"
"604810","mcategory_ids","361","Social > Food and Dining > Restaurants > Mexican","Mexican"
"605337","mcategory_ids","359","Social > Food and Dining > Restaurants > Japanese","Japanese"
"605022","mcategory_ids","359","Social > Food and Dining > Restaurants > Japanese","Japanese"
"604696","mcategory_ids","357","Social > Food and Dining > Restaurants > Indian","Indian"
"605091","mcategory_ids","355","Social > Food and Dining > Restaurants > Fast Food","Fast Food"
"605040","mcategory_ids","355","Social > Food and Dining > Restaurants > Fast Food","Fast Food"
"604925","mcategory_ids","353","Social > Food and Dining > Restaurants > Delis","Delis"
"604717","mcategory_ids","353","Social > Food and Dining > Restaurants > Delis","Delis"
"605069","mcategory_ids","352","Social > Food and Dining > Restaurants > Chinese","Chinese"
"605140","mcategory_ids","348","Social > Food and Dining > Restaurants > American","American"
"604733","mcategory_ids","348","Social > Food and Dining > Restaurants > American","American"
"605062","mcategory_ids","348","Social > Food and Dining > Restaurants > American","American"
"605158","mcategory_ids","348","Social > Food and Dining > Restaurants > American","American"
"605017","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604827","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"605294","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"605010","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604915","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604869","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"605080","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604840","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604729","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604967","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604853","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604932","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"223954","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"604826","mcategory_ids","347","Social > Food and Dining > Restaurants","Restaurants"
"605117","mcategory_ids","344","Social > Food and Dining > Ice Cream Parlors","Ice Cream Parlors"
"604928","mcategory_ids","344","Social > Food and Dining > Ice Cream Parlors","Ice Cream Parlors"
"605076","mcategory_ids","342","Social > Food and Dining > Cafes, Coffee and Tea Houses","Cafes, Coffee and Tea Houses"
"605094","mcategory_ids","342","Social > Food and Dining > Cafes, Coffee and Tea Houses","Cafes, Coffee and Tea Houses"
"604804","mcategory_ids","342","Social > Food and Dining > Cafes, Coffee and Tea Houses","Cafes, Coffee and Tea Houses"
"605135","mcategory_ids","340","Social > Food and Dining > Bakeries","Bakeries"
"604790","mcategory_ids","340","Social > Food and Dining > Bakeries","Bakeries"
"604907","mcategory_ids","340","Social > Food and Dining > Bakeries","Bakeries"
"605098","mcategory_ids","340","Social > Food and Dining > Bakeries","Bakeries"
"605147","mcategory_ids","339","Social > Food and Dining > Bagels and Donuts","Bagels and Donuts"
"605564","mcategory_ids","337","Social > Entertainment > Ticket Sales","Ticket Sales"
"598263","mcategory_ids","334","Social > Entertainment > Night Clubs","Night Clubs"
"207676","mcategory_ids","333","Social > Entertainment > Music and Show Venues","Music and Show Venues"
"599471","mcategory_ids","333","Social > Entertainment > Music and Show Venues","Music and Show Venues"
"188348","mcategory_ids","333","Social > Entertainment > Music and Show Venues","Music and Show Venues"
"225242","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"264228","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"417388","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"596872","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"78604","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"2048","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"150534","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"323216","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"252953","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"299759","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"339440","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"344233","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"176755","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"241375","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"160371","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"240179","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"161781","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"252952","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"117320","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"117319","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"238804","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"273878","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"192280","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"390068","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"268386","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"463850","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"37340","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"272643","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"130631","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"171491","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"26361","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"363963","mcategory_ids","332","Social > Entertainment > Movie Theatres","Movie Theatres"
"17252","mcategory_ids","330","Social > Entertainment > Karaoke","Karaoke"
"605370","mcategory_ids","328","Social > Entertainment > Go Carts","Go Carts"
"599469","mcategory_ids","322","Social > Entertainment > Bowling","Bowling"
"572014","mcategory_ids","322","Social > Entertainment > Bowling","Bowling"
"236274","mcategory_ids","322","Social > Entertainment > Bowling","Bowling"
"188341","mcategory_ids","322","Social > Entertainment > Bowling","Bowling"
"385682","mcategory_ids","322","Social > Entertainment > Bowling","Bowling"
"566356","mcategory_ids","322","Social > Entertainment > Bowling","Bowling"
"295817","mcategory_ids","319","Social > Entertainment > Amusement Parks","Amusement Parks"
"244322","mcategory_ids","319","Social > Entertainment > Amusement Parks","Amusement Parks"
"388680","mcategory_ids","319","Social > Entertainment > Amusement Parks","Amusement Parks"
"400126","mcategory_ids","319","Social > Entertainment > Amusement Parks","Amusement Parks"
"481253","mcategory_ids","317","Social > Entertainment","Entertainment"
"415890","mcategory_ids","317","Social > Entertainment","Entertainment"
"88524","mcategory_ids","317","Social > Entertainment","Entertainment"
"402924","mcategory_ids","317","Social > Entertainment","Entertainment"
"254401","mcategory_ids","317","Social > Entertainment","Entertainment"
"605051","mcategory_ids","312","Social > Bars","Bars"
"44831","mcategory_ids","311","Social > Arts > Museums","Museums"
"4918","mcategory_ids","311","Social > Arts > Museums","Museums"
"14492","mcategory_ids","311","Social > Arts > Museums","Museums"
"604809","mcategory_ids","311","Social > Arts > Museums","Museums"
"59380","mcategory_ids","311","Social > Arts > Museums","Museums"
"83374","mcategory_ids","310","Social > Arts > Art Dealers and Galleries","Art Dealers and Galleries"
"397387","mcategory_ids","310","Social > Arts > Art Dealers and Galleries","Art Dealers and Galleries"
"493690","mcategory_ids","310","Social > Arts > Art Dealers and Galleries","Art Dealers and Galleries"
"605386","mcategory_ids","309","Social > Arts","Arts"
"604739","mcategory_ids","309","Social > Arts","Arts"
"165896","mcategory_ids","305","Businesses and Services > Veterinarians","Veterinarians"
"109070","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"466368","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"535172","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"362681","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"64421","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"417370","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"465137","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"37297","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"206330","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"127935","mcategory_ids","304","Businesses and Services > Tailors","Tailors"
"605820","mcategory_ids","303","Businesses and Services > Shipping, Freight, and Material Transportation","Shipping, Freight, and Material Transportation"
"605837","mcategory_ids","303","Businesses and Services > Shipping, Freight, and Material Transportation","Shipping, Freight, and Material Transportation"
"605107","mcategory_ids","302","Businesses and Services > Repair Services","Repair Services"
"205001","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"222621","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"38591","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"242844","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"173987","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"73339","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"284343","mcategory_ids","289","Businesses and Services > Professional Cleaning","Professional Cleaning"
"188296","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"37275","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"125191","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
